"";"";"";"";"";"";"";"";"Distance moved";"Distance moved";"Movement";"Movement";"Movement";"Movement";"Movement";"Movement";"Movement";"Movement";"Movement";"Movement";"Rotation";"Rotation";"Rotation";"Rotation 2";"Rotation 3";"Velocity";
"";"";"";"";"";"";"";"";"Center-point";"Center-point";"Center-point / Moving";"Center-point / Moving";"Center-point / Moving";"Center-point / Moving";"Center-point / Moving";"Center-point / Not Moving";"Center-point / Not Moving";"Center-point / Not Moving";"Center-point / Not Moving";"Center-point / Not Moving";"Center-point";"Center-point";"Center-point";"Center-point";"Tail-Center";"Center-point";
"";"";"Animal ID";"Injection Group";"Mouse Type";"Day of test";"<User-defined 1>";"Time of trial";"Standard Error";"Total";"Duration";"Latency to first";"Latency to last";"Mean";"Standard Error";"Duration";"Latency to first";"Latency to last";"Mean";"Standard Error";"Frequency";"Latency to first";"Latency to last";"Frequency";"Frequency";"Mean";
"";"";"";"";"";"";"";"";"cm";"cm";"s";"s";"s";"s";"s";"s";"s";"s";"s";"s";"";"s";"s";"";"";"cm/s";
"Trial     4";"Arena 1";"814";"CTZ";"WT control, no infection";"11/5/15";"";"Baseline";0.00184222;7589.87;768.168;0.033366;899.032;3.13538;0.269539;131.865;8.54187;899.099;0.538225;0.0351111;23;40.8742;867.167;25;8;8.43288;
"Trial     4";"Arena 2";"818";"CTZ";"A2A-Cre with infection";"11/5/15";"";"Baseline";0.00150155;7227.88;807.007;0.033366;899.399;4.50842;0.429488;93.0264;18.3183;898.665;0.52262;0.0530875;9;39.7064;790.591;34;5;8.04619;
"Trial     5";"Arena 1";"814";"CTZ";"WT control, no infection";"11/5/15";"";"Post Injection 1";0.00122603;4685.11;650.817;0.033366;898.699;1.7309;0.103818;249.216;0.233566;898.632;0.664576;0.0555677;10;45.5455;777.077;22;1;5.20548;
"Trial     5";"Arena 2";"818";"CTZ";"A2A-Cre with infection";"11/5/15";"";"Post Injection 1";0.00139504;2724;454.888;1.26793;899.533;0.859902;0.0888782;445.145;0.033366;899.399;0.841484;0.0690015;4;308.709;756.156;4;8;3.02656;
"Trial     6";"Arena 1";"814";"CTZ";"WT control, no infection";"11/5/15";"";"Post Injection 2";0.00103647;4046.95;640.574;0.033366;898.031;1.62996;0.095967;259.459;6.20621;898.398;0.660202;0.0365689;7;291.291;705.973;11;0;4.49644;
"Trial     6";"Arena 2";"818";"CTZ";"A2A-Cre with infection";"11/5/15";"";"Post Injection 2";0.000303261;1507.16;180.514;1.2012;899.399;0.454695;0.0289091;719.52;0.033366;899.499;1.80784;0.124884;0;"-";"-";0;0;1.67456;
"Trial     7";"Arena 1";"814";"CTZ";"WT control, no infection";"11/5/15";"";"Post Injection 3";0.000958903;3902.72;583.417;0.567233;896.597;1.56832;0.100164;316.617;0.033366;897.264;0.848838;0.0594843;5;205.372;694.394;12;0;4.33619;
"Trial     7";"Arena 2";"818";"CTZ";"A2A-Cre with infection";"11/5/15";"";"Post Injection 3";0.000629507;2222.21;300.567;0.033366;897.664;0.913578;0.072697;599.466;0.2002;897.865;1.82209;0.187741;5;186.019;765.399;4;2;2.46903;
"Trial     8";"Arena 1";"814";"CTZ";"WT control, no infection";"11/5/15";"";"Post Injection 4";0.000973263;3574.74;522.222;2.2022;899.766;1.42295;0.0871298;377.811;0.033366;899.499;1.02946;0.11136;10;44.8448;841.808;9;8;3.97179;
"Trial     8";"Arena 2";"818";"CTZ";"A2A-Cre with infection";"11/5/15";"";"Post Injection 4";0.000794262;2633.29;385.552;0.9009;897.431;1.00404;0.0623411;514.481;0.033366;899.833;1.33631;0.111632;4;493.794;871.004;6;1;2.92577;
"Trial     9";"Arena 1";"814";"CTZ";"WT control, no infection";"11/5/15";"";"Post Injection 5";0.000756524;2873.05;471.972;0.567233;896.196;1.24531;0.0828657;428.061;0.033366;896.296;1.12648;0.0966062;9;121.655;779.146;11;2;3.19216;
"Trial     9";"Arena 2";"818";"CTZ";"A2A-Cre with infection";"11/5/15";"";"Post Injection 5";0.000625499;2326.76;362.095;8.17484;899.9;0.947894;0.0704732;537.938;0.033366;899.066;1.40821;0.115588;4;336.904;882.115;2;4;2.58519;
"Trial    10";"Arena 1";"813";"CTZ";"A2A-Cre with infection";"11/5/15";"";"Baseline";0.00172713;7782.69;793.494;0.033366;897.497;3.62326;0.27833;106.54;4.6046;898.699;0.486483;0.0388064;13;18.7855;873.173;37;6;8.64712;
"Trial    10";"Arena 2";"816";"CTZ";"WT control, no infection";"11/5/15";"";"Baseline";0.00174388;7938.27;786.086;0.033366;896.029;3.1697;0.248172;113.947;1.2012;895.629;0.461325;0.0327732;16;43.1431;837.804;26;8;8.81998;
"Trial    11";"Arena 1";"813";"CTZ";"A2A-Cre with infection";"11/5/15";"";"Post Injection 1";0.0011902;4228.51;599.499;0.066733;898.332;1.6159;0.0963953;300.534;0.033366;898.298;0.810064;0.0527497;10;195.662;893.393;17;2;4.69817;
"Trial    11";"Arena 2";"816";"CTZ";"WT control, no infection";"11/5/15";"";"Post Injection 1";0.000737875;2909.54;589.256;0.033366;897.097;1.24578;0.0726453;310.777;0.133466;899.6;0.657035;0.0586291;4;124.424;841.008;9;4;3.2327;
"Trial    12";"Arena 1";"813";"CTZ";"A2A-Cre with infection";"11/5/15";"";"Post Injection 2";0.0013013;4894.29;646.68;0.033366;899.6;1.82678;0.108285;253.353;0.7007;898.632;0.717715;0.0524744;8;103.604;583.25;20;8;5.4379;
"Trial    12";"Arena 2";"816";"CTZ";"WT control, no infection";"11/5/15";"";"Post Injection 2";0.00114326;4736.69;674.374;0.033366;897.231;1.84255;0.10448;225.659;4.43777;896.463;0.618244;0.0398502;11;40.3737;851.451;18;4;5.26279;
"Trial    13";"Arena 1";"813";"CTZ";"A2A-Cre with infection";"11/5/15";"";"Post Injection 3";0.00127838;4987.44;659.86;0.033366;899.766;1.85876;0.110748;240.14;1.5015;897.731;0.678362;0.0484058;8;79.346;767.634;17;3;5.5416;
"Trial    13";"Arena 2";"816";"CTZ";"WT control, no infection";"11/5/15";"";"Post Injection 3";0.00117053;4823.27;660.227;0.033366;898.599;1.9137;0.113376;239.773;0.467133;898.799;0.694995;0.0603743;12;268.969;862.496;10;9;5.35998;
"Trial    14";"Arena 1";"813";"CTZ";"A2A-Cre with infection";"11/5/15";"";"Post Injection 4";0.00263792;4084.24;552.519;0.233566;899.266;1.43885;0.0946475;347.514;0.033366;898.932;0.904985;0.0725204;14;79.8799;863.063;8;3;4.53788;
"Trial    14";"Arena 2";"816";"CTZ";"WT control, no infection";"11/5/15";"";"Post Injection 4";0.00206192;5697.7;692.86;0.066733;898.999;2.14508;0.131311;207.14;0.2002;900.033;0.641302;0.0452613;14;148.081;862.162;12;3;6.33923;
"Trial    15";"Arena 1";"813";"CTZ";"A2A-Cre with infection";"11/5/15";"";"Post Injection 5";0.00120416;4538.5;640.974;0.033366;899.7;1.79043;0.105758;259.059;1.5015;899.466;0.725656;0.0573822;13;29.7631;894.895;16;2;5.04259;
"Trial    15";"Arena 2";"816";"CTZ";"WT control, no infection";"11/5/15";"";"Post Injection 5";0.00138949;5947.6;753.82;0.066733;899.6;2.74117;0.301063;146.213;0.033366;899.466;0.531683;0.0356043;11;109.142;814.648;19;9;6.61482;
"Trial    17";"Arena 1";"814";"Saline";"WT control, no infection";"11/9/15";"";"Baseline";0.00141497;5280.2;699.533;0.033366;898.665;2.01594;0.139625;200.501;6.27294;898.332;0.579481;0.0315664;6;51.4181;687.02;14;2;5.86667;
"Trial    17";"Arena 2";"818";"Saline";"A2A-Cre with infection";"11/9/15";"";"Baseline";0.00158369;6092.58;786.053;0.033366;898.098;3.15684;0.232517;113.981;4.2042;898.031;0.459599;0.0375032;17;126.693;892.159;15;10;6.77481;
"Trial    18";"Arena 1";"814";"Saline";"WT control, no infection";"11/9/15";"";"Post Injection 1";0.00145945;3881.06;437.704;1.83517;897.464;1.23297;0.0947822;462.296;0.066733;897.831;1.29858;0.0993265;7;117.951;697.898;8;2;4.31212;
"Trial    18";"Arena 2";"818";"Saline";"A2A-Cre with infection";"11/9/15";"";"Post Injection 1";0.00153363;5331.88;714.748;0.033366;890.691;2.22663;0.176277;185.285;0.5005;889.456;0.579016;0.0429768;11;132.566;830.697;13;9;5.9241;
